pde,optimizer,optimizer_folder,error_u,final_training_loss,final_lbfgs_loss
Burgers,L-BFGS,Adam,0.0016192308578945203,2.011686325073242,0.0019682529382407665
Burgers,Learnable,Learnable,0.001082431847802197,0.9531062841415405,0.0016238486859947443
Burgers,SSBFGS,Quasi-Newton_SSBFGS_AB,3.088686483025274e-05,31.088054656982422,1.4939907487132587e-05
Burgers,SSBroyden2,Quasi-Newton_SSBroyden2,4.336184201244997e-05,13.133377075195312,1.6795038391137496e-05
Helmholtz,L-BFGS,Adam,0.005648933669177238,0.1220036968588829,0.0017645290354266763
Helmholtz,Learnable,Learnable,0.005572220772467908,4.252341270446777,0.0014328849501907825
Helmholtz,SSBFGS,Quasi-Newton_SSBFGS_AB,0.00012590637572244207,0.040403708815574646,1.3614281897389446e-06
Helmholtz,SSBroyden2,Quasi-Newton_SSBroyden2,0.00013707692323058148,0.022387146949768066,8.759129173085967e-07
Allen-Cahn,L-BFGS,Adam,0.09772404783176439,0.4199053943157196,0.0019130019936710596
Allen-Cahn,Learnable,Learnable,0.26071332942184117,643.260986328125,0.31131061911582947
Allen-Cahn,SSBroyden2,Quasi-newton,0.08014485108209694,0.42158839106559753,0.001117361825890839
Kuramoto-Sivashinsky,L-BFGS,Adam,0.0006591362287384254,0.0008937106467783451,4.276953404769301e-06
Kuramoto-Sivashinsky,Learnable,Learnable,0.0017286398618854492,0.0412912480533123,0.0002733347355388105
Kuramoto-Sivashinsky,SSBFGS,Quasi-Newton_SSBFGS_AB,0.00030399142569152596,6.817751273047179e-05,4.994324953599971e-09
Kuramoto-Sivashinsky,SSBroyden2,Quasi-Newton_SSBroyden2,0.0003413873458643674,6.578389729838818e-05,1.4669629955221808e-09
