step,loss
0,12.908733367919922
25,5.66324520111084
50,3.7253355979919434
75,2.1688177585601807
100,1.0567121505737305
125,0.3958866000175476
150,0.14189204573631287
175,0.07565565407276154
200,0.04178205505013466
225,0.024731311947107315
250,0.016733888536691666
275,0.011387815698981285
300,0.007380062248557806
325,0.005107903853058815
350,0.003535965923219919
375,0.0024104032199829817
400,0.0017593787051737309
425,0.001327897422015667
450,0.0009862777078524232
475,0.0007087134872563183
500,0.0005309842526912689
525,0.0003913441323675215
550,0.000305417604977265
575,0.00023830273130442947
600,0.00018671760335564613
625,0.00015258105122484267
650,0.00012456928379833698
675,0.00010456342715770006
700,8.804578828858212e-05
725,7.595036004204303e-05
750,6.36628974461928e-05
775,5.4317122703650966e-05
800,4.753562097903341e-05
825,4.124635233893059e-05
850,3.6953006201656535e-05
875,3.2477670174557716e-05
900,2.896058686019387e-05
925,2.616350684547797e-05
950,2.2786505724070594e-05
975,1.9731874999706633e-05
1000,1.785612948879134e-05
1017,1.6795038391137496e-05
